Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides LG1	Peptides LG2	Razor + unique peptides LG1	Razor + unique peptides LG2	Unique peptides LG1	Unique peptides LG2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type LG1	Identification type LG2	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L LG1	Ratio H/L LG2	Ratio H/L normalized LG1	Ratio H/L normalized LG2	Ratio H/L variability [%] LG1	Ratio H/L variability [%] LG2	Ratio H/L count LG1	Ratio H/L count LG2	Ratio H/L iso-count LG1	Ratio H/L iso-count LG2	Ratio H/L type LG1	Ratio H/L type LG2	Sequence coverage LG1 [%]	Sequence coverage LG2 [%]	Intensity	Intensity L	Intensity H	Intensity LG1	Intensity L LG1	Intensity H LG1	Intensity LG2	Intensity L LG2	Intensity H LG2	iBAQ	iBAQ L	iBAQ H	iBAQ LG1	iBAQ L LG1	iBAQ H LG1	iBAQ LG2	iBAQ L LG2	iBAQ H LG2	LFQ intensity L LG1	LFQ intensity H LG1	LFQ intensity L LG2	LFQ intensity H LG2	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.11.8200:mRNA-p1	Tb927.11.8200:mRNA-p1	1	1	1	Tb927.11.8200:mRNA-p1 | transcript=Tb927.11.8200:mRNA | gene=Tb927.11.8200 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ribosomal protein S26, putative | transcript_product=ribosomal protein S26, putative | location=Tb927_11_v5.1:2305896-230	1	1	1	1	1	0	1	0	1	0	15.3	15.3	15.3	12.806	111	111	1	1	1	-2	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	15.3	0	80568	70124	10444	80568	70124	10444	0	0	0	20142	17531	2611.1	20142	17531	2611.1	0	0	0	108030	94380	0	0	+			121	148	True	165	258	415	415	104	68
Tb927.11.900:mRNA-p1;Tb927.8.3690:mRNA-p1	Tb927.11.900:mRNA-p1	6;1	6;1	6;1	Tb927.11.900:mRNA-p1 | transcript=Tb927.11.900:mRNA | gene=Tb927.11.900 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=isocitrate dehydrogenase, putative | transcript_product=isocitrate dehydrogenase, putative | location=Tb927_11_v5.1:230567-2	2	6	6	6	6	4	6	4	6	4	18.4	18.4	18.4	46.77	413	413;437	1	11	0	54.944	By MS/MS	By MS/MS	0.61354	1.5261	10.174	10	0	Leave out requantified	0.84822	0.40508	1.7049	1.331	7.3222	13.483	6	4	0	0	Leave out requantified	Leave out requantified	18.4	12.6	1383900	869300	514560	605300	321870	283430	778560	547430	231130	62903	39514	23389	27514	14630	12883	35389	24883	10506	714430	1218000	648520	1981400				122	25;103;336;738;809;835	True;True;True;True;True;True	27;109;380;826;902;930	37;38;178;179;600;1350;1480;1481;1482;1532;1533	55;56;57;58;293;294;295;296;297;1023;2203;2440;2441;2442;2540;2541;2542;2543	57;296;1023;2203;2440;2543		
Tb927.11.9650:mRNA-p1	Tb927.11.9650:mRNA-p1	1	1	1	Tb927.11.9650:mRNA-p1 | transcript=Tb927.11.9650:mRNA | gene=Tb927.11.9650 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_v5.1:2623269-262	1	1	1	1	0	1	0	1	0	1	1.7	1.7	1.7	53.172	484	484	1	1	0.0052356	5.9811		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	1.7	305960	212660	93304	0	0	0	305960	212660	93304	13907	9666.3	4241.1	0	0	0	13907	9666.3	4241.1	0	0	203780	524450				123	384	True	432	682	1146	1146		
Tb927.11.9720:mRNA-p1	Tb927.11.9720:mRNA-p1	4	1	1	Tb927.11.9720:mRNA-p1 | transcript=Tb927.11.9720:mRNA | gene=Tb927.11.9720 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S27, putative | transcript_product=40S ribosomal protein S27, putative | location=Tb927_11_v5.1:263	1	4	1	1	4	1	1	0	1	0	58.1	11.6	11.6	9.6302	86	86	1	1	0	6.1696	By MS/MS	By matching	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	58.1	15.1	67799	41359	26439	67799	41359	26439	0	0	0	13560	8271.9	5287.9	13560	8271.9	5287.9	0	0	0	63715	238920	0	0				124	57;270;531;571	True;False;False;False	60;300;594;595;645	94;472;473;474;993;994;1060	146;796;797;798;1623;1624;1722	146;796;1623;1722	58;105	34;73
Tb927.11.9980:mRNA-p1	Tb927.11.9980:mRNA-p1	5	5	5	Tb927.11.9980:mRNA-p1 | transcript=Tb927.11.9980:mRNA | gene=Tb927.11.9980 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=2-oxoglutarate dehydrogenase E1 component, putative | transcript_product=2-oxoglutarate dehydrogenase E1 component, putat	1	5	5	5	5	1	5	1	5	1	6.2	6.2	6.2	112.95	1005	1005	1	6	0	31.089	By MS/MS	By MS/MS	0.12422	0.24967	24.873	5	5	Median	0.12422	NaN	0.24967	NaN	24.873	NaN	5	0	5	0	Median	Median	6.2	1.4	509140	468130	41003	464180	423180	41003	44958	44958	0	8778.2	8071.3	706.95	8003.1	7296.1	706.95	775.14	775.14	0	993210	247980	0	0				125	43;363;592;843;956	True;True;True;True;True	45;410;670;939;1060	68;647;648;1117;1551;1735	106;1083;1084;1824;2566;2827	106;1083;1824;2566;2827		
Tb927.2.240:mRNA-p1;Tb927.2.720:pseudogenic_transcript-p1;Tb927.2.980:pseudogenic_transcript-p1;Tb927.4.250:mRNA-p1;Tb927.2.1170:mRNA-p1;Tb927.1.420:mRNA-p1;Tb11.1790.1-p1	Tb927.2.240:mRNA-p1;Tb927.2.720:pseudogenic_transcript-p1;Tb927.2.980:pseudogenic_transcript-p1;Tb927.4.250:mRNA-p1;Tb927.2.1170:mRNA-p1;Tb927.1.420:mRNA-p1;Tb11.1790.1-p1	2;1;1;1;1;1;1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	Tb927.2.240:mRNA-p1 | transcript=Tb927.2.240:mRNA | gene=Tb927.2.240 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=retrotransposon hot spot protein 5 (RHS5), putative | transcript_product=retrotransposon hot spot protein 5 (RHS5), putative | 	7	2	1	1	2	0	1	0	1	0	3	1.6	1.6	76.706	674	674;145;155;675;675;675;684	1	1	0.0051813	5.9748	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	3	0	104590	94119	10472	104590	94119	10472	0	0	0	2490.3	2240.9	249.34	2490.3	2240.9	249.34	0	0	0	144990	94631	0	0				126	563;708	False;True	636;794	1050;1301	1708;2101	1708;2101		
Tb927.2.3030:mRNA-p1	Tb927.2.3030:mRNA-p1	2	2	2	Tb927.2.3030:mRNA-p1 | transcript=Tb927.2.3030:mRNA | gene=Tb927.2.3030 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78), putative | transcript_product=ATP-dependent Clp protease 	1	2	2	2	2	0	2	0	2	0	2.8	2.8	2.8	90.664	812	812	1	2	0	13.273	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	2.8	0	146440	142150	4288.7	146440	142150	4288.7	0	0	0	3254.1	3158.8	95.305	3254.1	3158.8	95.305	0	0	0	218980	38754	0	0				127	590;735	True;True	668;823	1114;1346	1820;2196	1820;2196		
Tb927.2.340:mRNA-p1;Tb927.2.470:mRNA-p1	Tb927.2.340:mRNA-p1;Tb927.2.470:mRNA-p1	6;4	6;4	3;2	Tb927.2.340:mRNA-p1 | transcript=Tb927.2.340:mRNA | gene=Tb927.2.340 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=retrotransposon hot spot protein 4 (RHS4), putative | transcript_product=retrotransposon hot spot protein 4 (RHS4), putative | 	2	6	6	3	6	1	6	1	3	0	7.2	7.2	3.7	97.84	858	858;860	1	7	0	35.055	By MS/MS	By MS/MS	0.11786	0.26311	48.763	6	5	Median	0.13448	NaN	0.24759	NaN	54.216	NaN	5	1	5	0	Median	Median	7.2	1.3	700560	634510	66052	590030	536940	53094	110530	97568	12958	14906	13500	1405.4	12554	11424	1129.7	2351.6	2075.9	275.7	1266000	313460	0	0				128	10;172;330;358;561;684	True;True;True;True;True;True	12;193;374;404;634;767	19;297;593;640;1047;1048;1265	29;483;1014;1074;1704;1705;1706;2038	29;483;1014;1074;1706;2038	48	493
Tb927.2.4210:mRNA-p1	Tb927.2.4210:mRNA-p1	20	20	20	Tb927.2.4210:mRNA-p1 | transcript=Tb927.2.4210:mRNA | gene=Tb927.2.4210 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Phosphoenolpyruvate carboxykinase [ATP], glycosomal | transcript_product=Phosphoenolpyruvate carboxykinase [ATP], glycosomal	1	20	20	20	18	15	18	15	18	15	44.6	44.6	44.6	58.564	525	525	1	49	0	177.74	By MS/MS	By MS/MS	0.36654	0.76195	11.343	45	10	Leave out requantified	0.40299	0.19891	0.77356	0.70056	10.652	10.322	22	23	0	10	Leave out requantified	Leave out requantified	40.6	32.4	13435000	10466000	2969400	4796000	3364000	1432000	8639200	7101800	1537400	419850	327060	92792	149870	105130	44749	269980	221930	48044	9571100	7403800	6370200	7906100				129	22;41;157;193;200;230;231;326;343;414;454;522;540;580;754;803;823;827;909;957	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	24;43;175;215;223;224;258;259;370;387;465;466;509;584;607;654;844;896;917;922;1010;1061	34;62;63;64;65;66;272;327;328;341;342;343;344;395;396;397;398;399;587;588;614;732;733;734;834;977;978;1009;1082;1083;1084;1085;1086;1393;1394;1395;1396;1397;1398;1399;1400;1472;1473;1507;1508;1521;1665;1666;1736	52;91;92;93;94;95;96;97;98;99;100;101;102;103;443;532;533;534;556;557;558;559;560;561;562;563;649;650;651;652;653;654;999;1000;1001;1002;1003;1004;1005;1006;1007;1037;1234;1235;1236;1382;1587;1588;1589;1590;1640;1775;1776;1777;1778;1779;2306;2307;2308;2309;2310;2311;2312;2313;2314;2315;2428;2429;2430;2431;2486;2487;2488;2489;2490;2491;2492;2493;2494;2495;2520;2719;2720;2721;2722;2723;2724;2725;2726;2727;2828	52;102;443;533;557;652;653;1005;1037;1235;1382;1589;1640;1775;2307;2430;2491;2520;2723;2828	106;107;108;109;110	67;94;184;199;204
Tb927.3.1380:mRNA-p1	Tb927.3.1380:mRNA-p1	12	12	12	Tb927.3.1380:mRNA-p1 | transcript=Tb927.3.1380:mRNA | gene=Tb927.3.1380 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ATP synthase subunit beta, mitochondrial | transcript_product=ATP synthase subunit beta, mitochondrial | location=Tb927_03_v	1	12	12	12	2	12	2	12	2	12	30.4	30.4	30.4	55.775	519	519	1	17	0	116.4	By MS/MS	By MS/MS	0.19434	0.66035	9.5064	17	7	Leave out requantified	0.25032	0.19179	0.47209	0.66035	0.91511	8.5063	2	15	1	6	Median	Leave out requantified	5.8	30.4	5745800	4688700	1057100	168210	129110	39104	5577500	4559600	1017900	261170	213120	48048	7646.1	5868.7	1777.5	253520	207250	46270	198900	93898	5905500	3899700				130	82;109;114;173;252;369;372;442;536;824;863;906	True;True;True;True;True;True;True;True;True;True;True;True	87;115;121;194;280;416;419;497;600;601;918;919;961;1007	142;143;144;189;190;199;298;442;655;660;815;999;1000;1509;1510;1585;1661	231;232;233;234;235;236;237;318;319;320;332;484;725;726;727;728;1096;1097;1098;1099;1100;1101;1118;1119;1332;1333;1334;1629;1630;2496;2497;2498;2499;2609;2610;2713;2714;2715	237;319;332;484;727;1099;1119;1333;1629;2499;2609;2714	111	265
Tb927.3.1790:mRNA-p1	Tb927.3.1790:mRNA-p1	5	5	5	Tb927.3.1790:mRNA-p1 | transcript=Tb927.3.1790:mRNA | gene=Tb927.3.1790 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=pyruvate dehydrogenase E1 beta subunit, putative | transcript_product=pyruvate dehydrogenase E1 beta subunit, putative | loc	1	5	5	5	4	1	4	1	4	1	19.8	19.8	19.8	37.566	348	348	1	6	0	45.242	By MS/MS	By MS/MS	0.1562	0.29577	69.016	4	3	Median	0.149	NaN	0.28689	NaN	19.247	NaN	3	1	3	0	Median	Median	16.7	3.2	680950	594770	86176	558980	508280	50700	121970	86490	35475	37831	33043	4787.5	31055	28238	2816.7	6775.8	4805	1970.9	1061100	304420	0	0				131	124;578;674;845;885	True;True;True;True;True	132;652;755;941;983;984	212;1079;1252;1553;1621;1622	357;1771;2024;2568;2660;2661	357;1771;2024;2568;2661	112	207
Tb927.3.2230:mRNA-p1	Tb927.3.2230:mRNA-p1	3	3	3	Tb927.3.2230:mRNA-p1 | transcript=Tb927.3.2230:mRNA | gene=Tb927.3.2230 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=succinyl-CoA synthetase alpha subunit, putative | transcript_product=succinyl-CoA synthetase alpha subunit, putative | locat	1	3	3	3	3	0	3	0	3	0	13.6	13.6	13.6	31.464	301	301	1	5	0	19.079	By MS/MS		0.046615	0.086228	33.255	4	4	Median	0.046615	NaN	0.086228	NaN	33.255	NaN	4	0	4	0	Median	Median	13.6	0	1069400	1009800	59633	1069400	1009800	59633	0	0	0	82265	77678	4587.2	82265	77678	4587.2	0	0	0	3110400	268210	0	0				132	474;539;862	True;True;True	532;605;606;960	872;1006;1007;1008;1584	1430;1637;1638;1639;2608	1430;1637;2608	113	253
Tb927.3.3270:mRNA-p1	Tb927.3.3270:mRNA-p1	16	16	16	Tb927.3.3270:mRNA-p1 | transcript=Tb927.3.3270:mRNA | gene=Tb927.3.3270 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ATP-dependent 6-phosphofructokinase, glycosomal | transcript_product=ATP-dependent 6-phosphofructokinase, glycosomal | locat	1	16	16	16	12	9	12	9	12	9	37.8	37.8	37.8	53.517	487	487	1	30	0	121.05	By MS/MS	By MS/MS	0.24985	0.56138	46.539	27	7	Leave out requantified	0.26666	0.22772	0.51152	0.77691	11.041	52.616	14	13	1	6	Leave out requantified	Leave out requantified	28.3	22.8	7493500	4446400	3047000	4144300	2035700	2108500	3349200	2410700	938510	299740	177860	121880	165770	81429	84341	133970	96427	37540	8203700	4196400	2343400	11061000				133	16;56;134;139;184;196;262;324;345;499;638;688;743;758;837;897	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	18;58;59;147;153;154;205;219;291;368;389;560;718;773;831;848;932;998	27;90;91;92;93;234;235;242;243;310;334;458;459;584;585;616;942;1194;1195;1272;1356;1357;1405;1406;1407;1535;1536;1537;1538;1646	41;142;143;144;145;384;385;394;395;498;542;769;770;771;772;773;774;995;996;997;1039;1539;1935;1936;2046;2047;2219;2220;2320;2321;2322;2323;2324;2325;2326;2327;2545;2546;2547;2548;2549;2695	41;143;385;394;498;542;773;997;1039;1539;1936;2047;2219;2326;2549;2695	114;115;116	20;60;181
Tb927.3.5050:mRNA-p1	Tb927.3.5050:mRNA-p1	4	4	4	Tb927.3.5050:mRNA-p1 | transcript=Tb927.3.5050:mRNA | gene=Tb927.3.5050 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L4 | transcript_product=60S ribosomal protein L4 | location=Tb927_03_v5.1:1417717-1418841(+) | protein	1	4	4	4	4	0	4	0	4	0	12.3	12.3	12.3	41.856	374	374	1	4	0	24.74	By MS/MS		0.14008	0.24996	97.401	3	3	Median	0.14008	NaN	0.24996	NaN	97.401	NaN	3	0	3	0	Median	Median	12.3	0	401530	301980	99543	401530	301980	99543	0	0	0	25095	18874	6221.5	25095	18874	6221.5	0	0	0	1293900	323420	0	0				134	365;367;391;810	True;True;True;True	412;414;440;903	651;653;693;1483	1091;1094;1159;2443	1091;1094;1159;2443		
Tb927.3.5520:mRNA-p1	Tb927.3.5520:mRNA-p1	2	2	2	Tb927.3.5520:mRNA-p1 | transcript=Tb927.3.5520:mRNA | gene=Tb927.3.5520 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=26S proteasome regulatory non-ATPase subunit | transcript_product=26S proteasome regulatory non-ATPase subunit | location=Tb	1	2	2	2	2	0	2	0	2	0	3	3	3	99.897	911	911	1	2	0	11.85	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	3	0	97103	92259	4844	97103	92259	4844	0	0	0	2110.9	2005.6	105.3	2110.9	2005.6	105.3	0	0	0	145030	46664	0	0				135	756;855	True;True	846;951	1403;1569	2318;2590	2318;2590		
Tb927.4.1360:mRNA-p1	Tb927.4.1360:mRNA-p1	4	4	4	Tb927.4.1360:mRNA-p1 | transcript=Tb927.4.1360:mRNA | gene=Tb927.4.1360 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Glucose-6-phosphate 1-epimerase, putative | transcript_product=Glucose-6-phosphate 1-epimerase, putative | location=Tb927_04	1	4	4	4	4	1	4	1	4	1	11.3	11.3	11.3	32.547	293	293	1	6	0	27.29	By MS/MS	By MS/MS	0.31614	0.58532	5.3588	6	2	Leave out requantified	0.31614	NaN	0.58532	NaN	5.3588	NaN	5	1	1	1	Leave out requantified	Median	11.3	4.1	1217700	880490	337180	1159600	839720	319930	58014	40767	17247	110700	80044	30652	105420	76338	29084	5274	3706.1	1567.9	2575200	1507300	0	0				136	169;174;388;572	True;True;True;True	190;195;436;646	292;293;299;686;1061;1062	472;473;485;1152;1723;1724	472;485;1152;1723		
Tb927.4.1800:mRNA-p1;Tb927.4.1790:mRNA-p1	Tb927.4.1800:mRNA-p1;Tb927.4.1790:mRNA-p1	3;3	3;3	3;3	Tb927.4.1800:mRNA-p1 | transcript=Tb927.4.1800:mRNA | gene=Tb927.4.1800 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Mitochondrial ribosomal protein L3 | transcript_product=Mitochondrial ribosomal protein L3 | location=Tb927_04_v5.1:450119-4	2	3	3	3	3	0	3	0	3	0	10.3	10.3	10.3	48.691	429	429;429	1	3	0	17.718	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	10.3	0	165900	128420	37486	165900	128420	37486	0	0	0	7213.2	5583.3	1629.8	7213.2	5583.3	1629.8	0	0	0	200880	361120	0	0				137	36;93;360	True;True;True	38;99;407	55;165;643	84;274;1077	84;274;1077	117	53
Tb927.4.1860:mRNA-p1	Tb927.4.1860:mRNA-p1	2	2	2	Tb927.4.1860:mRNA-p1 | transcript=Tb927.4.1860:mRNA | gene=Tb927.4.1860 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ribosomal protein S19, putative | transcript_product=ribosomal protein S19, putative | location=Tb927_04_v5.1:465052-465555(	1	2	2	2	2	0	2	0	2	0	10.8	10.8	10.8	18.846	167	167	1	2	0	12.581	By MS/MS		0.14836	0.25996	49.901	2	2	Median	0.14836	NaN	0.25996	NaN	49.901	NaN	2	0	2	0	Median	Median	10.8	0	98140	85845	12295	98140	85845	12295	0	0	0	16357	14307	2049.2	16357	14307	2049.2	0	0	0	253450	65886	0	0				138	313;429	True;True	354;481	563;786	962;1294	962;1294		
Tb927.4.2010:mRNA-p1	Tb927.4.2010:mRNA-p1	1	1	1	Tb927.4.2010:mRNA-p1 | transcript=Tb927.4.2010:mRNA | gene=Tb927.4.2010 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=acyl-CoA binding protein, putative | transcript_product=acyl-CoA binding protein, putative | location=Tb927_04_v5.1:507511-5	1	1	1	1	0	1	0	1	0	1	8.6	8.6	8.6	10.609	93	93	1	1	0	8.3155		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	8.6	177870	121120	56753	0	0	0	177870	121120	56753	35574	24224	11351	0	0	0	35574	24224	11351	0	0	116060	319000				139	840	True	935	1542	2554	2554		
Tb927.4.2180:mRNA-p1	Tb927.4.2180:mRNA-p1	3	3	3	Tb927.4.2180:mRNA-p1 | transcript=Tb927.4.2180:mRNA | gene=Tb927.4.2180 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L35a, putative | transcript_product=60S ribosomal protein L35a, putative | location=Tb927_04_v5.1:5606	1	3	3	3	2	1	2	1	2	1	21.5	21.5	21.5	17.021	149	149	1	3	0	21.611	By MS/MS	By MS/MS	0.064882	0.12459	78.967	3	2	Median	0.056988	NaN	0.10878	NaN	19.19	NaN	2	1	1	1	Median	Median	14.1	7.4	620000	566560	53448	494980	460630	34357	125020	105930	19091	77500	70819	6681	61873	57579	4294.6	15627	13241	2386.4	1423100	154800	0	0				140	241;366;912	True;True;True	269;413;1013	421;652;1670	692;1092;1093;2732	692;1092;2732		
Tb927.4.3200:mRNA-p1	Tb927.4.3200:mRNA-p1	2	2	2	Tb927.4.3200:mRNA-p1 | transcript=Tb927.4.3200:mRNA | gene=Tb927.4.3200 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_04_v5.1:847180-848109(	1	2	2	2	1	1	1	1	1	1	6.8	6.8	6.8	35.232	309	309	1	2	0	10.871	By MS/MS	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	4.5	2.3	214910	89493	125420	214910	89493	125420	0	0	0	10234	4261.6	5972.3	10234	4261.6	5972.3	0	0	0	137870	1133300	0	0				141	284;752	True;True	315;842	497;1391	824;2304	824;2304		
Tb927.4.4070:mRNA-p1	Tb927.4.4070:mRNA-p1	1	1	1	Tb927.4.4070:mRNA-p1 | transcript=Tb927.4.4070:mRNA | gene=Tb927.4.4070 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=mevalonate kinase, putative | transcript_product=mevalonate kinase, putative | location=Tb927_04_v5.1:1082064-1083053(-) | p	1	1	1	1	0	1	0	1	0	1	4.9	4.9	4.9	35.544	329	329	1	1	0	8.7612		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	4.9	170110	123010	47095	0	0	0	170110	123010	47095	9450.3	6833.9	2616.4	0	0	0	9450.3	6833.9	2616.4	0	0	117870	264720				142	525	True	588	984	1610;1611;1612	1611		
Tb927.4.4370.1:mRNA-p1;Tb927.4.4370.2:mRNA-p1	Tb927.4.4370.1:mRNA-p1;Tb927.4.4370.2:mRNA-p1	1;1	1;1	1;1	Tb927.4.4370.1:mRNA-p1 | transcript=Tb927.4.4370.1:mRNA | gene=Tb927.4.4370 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_04_v5.1:1151495-11	2	1	1	1	0	1	0	1	0	1	1.8	1.8	1.8	63.201	550	550;590	1	1	1	-2		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	1.8	641700	510810	130900	0	0	0	641700	510810	130900	22128	17614	4513.7	0	0	0	22128	17614	4513.7	0	0	489480	735760	+			143	556	True	629	1041	1697	1697	118	241
Tb927.4.4690:mRNA-p1	Tb927.4.4690:mRNA-p1	2	2	2	Tb927.4.4690:mRNA-p1 | transcript=Tb927.4.4690:mRNA | gene=Tb927.4.4690 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_04_v5.1:1292329-129316	1	2	2	2	0	2	0	2	0	2	9.7	9.7	9.7	31.337	278	278	1	4	0	16.141		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	9.7	169810	109930	59875	0	0	0	169810	109930	59875	9433.9	6107.5	3326.4	0	0	0	9433.9	6107.5	3326.4	0	0	105340	336550				144	39;784	True;True	41;876	58;59;60;1446	87;88;89;2392;2393	87;2392		
Tb927.4.4700:mRNA-p1	Tb927.4.4700:mRNA-p1	5	5	5	Tb927.4.4700:mRNA-p1 | transcript=Tb927.4.4700:mRNA | gene=Tb927.4.4700 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_04_v5.1:1293878-129468	1	5	5	5	0	5	0	5	0	5	22.7	22.7	22.7	30.771	269	269	1	5	0	38.065		By MS/MS	0.5219	1.6441	59.063	4	1	Leave out requantified	NaN	0.5219	NaN	1.6441	NaN	59.063	0	4	0	1	Median	Leave out requantified	0	22.7	1023000	510390	512600	0	0	0	1023000	510390	512600	68199	34026	34173	0	0	0	68199	34026	34173	0	0	925800	1522100				145	481;528;558;620;812	True;True;True;True;True	540;591;631;700;905	905;988;1043;1164;1485	1477;1616;1617;1618;1699;1898;2445;2446	1477;1616;1699;1898;2446		
Tb927.5.1060:mRNA-p1	Tb927.5.1060:mRNA-p1	10	10	10	Tb927.5.1060:mRNA-p1 | transcript=Tb927.5.1060:mRNA | gene=Tb927.5.1060 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=mitochondrial processing peptidase, beta subunit, putative | transcript_product=mitochondrial processing peptidase, beta sub	1	10	10	10	9	4	9	4	9	4	28.8	28.8	28.8	54.122	489	489	1	13	0	67.275	By MS/MS	By MS/MS	0.15613	0.6521	41.805	12	10	Linear	0.13118	0.17522	0.25107	0.59487	21.914	6.1918	9	3	9	1	Median	Median	24.9	11.2	1927600	1661500	266110	980140	860590	119550	947470	800910	146560	68843	59339	9503.8	35005	30735	4269.7	33838	28604	5234.2	1423400	357370	1155100	1383600				146	11;102;322;386;400;512;517;707;746;908	True;True;True;True;True;True;True;True;True;True	13;108;365;434;451;573;579;793;835;1009	20;177;580;581;684;709;710;964;965;971;1300;1365;1664	30;292;989;990;1150;1192;1193;1194;1195;1570;1571;1578;2100;2238;2718	30;292;989;1150;1192;1571;1578;2100;2238;2718	119	412
